stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1078,,"Outtrim Av after Johnson Dr",, -35.435688, 149.098404,,,0
1079,,"Outtrim Av after Carter Cr",, -35.435898, 149.102020,,,0
1080,,"Outtrim Av after Gurr St",, -35.435978, 149.101944,,,0
1081,,"Outtrim Av after 2nd Carter Cr",, -35.436062, 149.104675,,,0
1082,,"Outtrim Av 2nd after Mountain Cct",, -35.436089, 149.104828,,,0
1083,,"Outtrim Av after Costello Cct",, -35.435623, 149.109482,,,0
1084,,"Outtrim Av after Mountain Cct",, -35.435703, 149.109482,,,0
1085,,"Casey Cr after Dougharty Pl",, -35.438694, 149.110352,,,0
1086,,"Casey Cr after Carpenter Cl",, -35.438580, 149.110413,,,0
1087,,"Barraclough Cr after Cowdery Pl",, -35.417179, 149.100647,,,0
1088,,"Barraclough Cr after Ashley Dr",, -35.417183, 149.100372,,,0
1089,,"Casey Cr after O'Connor Cct",, -35.440018, 149.113144,,,0
1090,,"Casey Cr after Loader Cr",, -35.439957, 149.113235,,,0
1091,,"Johnson Dr West of Were St",, -35.433498, 149.111282,,,0
1092,,"Casey Cr 3rd after Were St",, -35.441120, 149.115921,,,0
1093,,"Johnson Dr East of Were St",, -35.433212, 149.112595,,,0
1094,,"Casey Cr after Were St",, -35.441063, 149.118881,,,0
1095,,"Were St Netball Courts",, -35.440384, 149.120712,,,0
1096,,"Were St after Tharwa Dr",, -35.440536, 149.120682,,,0
1097,,"Scantlebury Cr after Porteous Cr",, -35.441772, 149.123474,,,0
1098,,"Scantlebury Cr after Tewksbury Cct",, -35.441898, 149.123367,,,0
1099,,"Scantlebury Cr after Lienhop St",, -35.442955, 149.126251,,,0
1100,,"Scantlebury Cr 2nd after Kelso St",, -35.442959, 149.126144,,,0
1101,,"Scantlebury Cr after Kelso St",, -35.444878, 149.126556,,,0
1102,,"Scantlebury Cr after Freda Gibson Cct",, -35.445438, 149.125702,,,0
1109,,"Louis Loder St after Lawrence Wackett Cr",, -35.445644, 149.116776,,,0
1110,,"Louis Loder St after Hartung Cr",, -35.445576, 149.116669,,,0
1111,,"Louis Loder St after 2nd Mehaffey Cr",, -35.446537, 149.114517,,,0
1112,,"Louis Loder St after Vonwiller Cr",, -35.446522, 149.114883,,,0
1113,,"Louis Loder St after Cochrane Cr",, -35.447880, 149.115280,,,0
1114,,"Louis Loder St after 2nd Conlon Cr",, -35.448128, 149.115265,,,0
1115,,"Louis Loder St after 2nd Cochrane Cr",, -35.450546, 149.117416,,,0
1116,,"Louis Loder St after Conlon Cr",, -35.450596, 149.117264,,,0
1117,,"Clift Cr after 2nd Fullerton Cr",, -35.433250, 149.118423,,,0
1118,,"Clift Cr after Johnson Dr",, -35.433113, 149.118225,,,0
1119,,"Clift Cr after 2nd Chauncy Cr",, -35.431156, 149.119171,,,0
1120,,"Clift Cr after Fullerton Cr",, -35.431118, 149.119354,,,0
1121,,"Deamer Cr after Clift Cr",, -35.429241, 149.121445,,,0
1122,,"Deamer Cr after Meeson St",, -35.429356, 149.120941,,,0
1123,,"Deamer Cr after Twamley Cr",, -35.430847, 149.123535,,,0
1124,,"Deamer Cr after Mary MacKillop Pl",, -35.430916, 149.123428,,,0
1125,,"Deamer Cr after 2nd Twamley Cr",, -35.431496, 149.127060,,,0
1126,,"Deamer Cr before Mary MacKillop Pl",, -35.431725, 149.126984,,,0
1127,,"Deamer Cr before Nina Jones Cr",, -35.429424, 149.128799,,,0
1128,,"Deamer Cr after 2nd Nina Jones Cr",, -35.429787, 149.128677,,,0
1129,,"Deamer Cr after Heagney Cr",, -35.427319, 149.129807,,,0
1130,,"Deamer Cr before Heagney Cr",, -35.427189, 149.129608,,,0
1131,,"Heagney Cr after Rose Scott Cr",, -35.426487, 149.130997,,,0
1132,,"Heagney Cr after Deamer Cr",, -35.426567, 149.130249,,,0
1133,,"Heagney Cr after Couchman Cr",, -35.424587, 149.133209,,,0
1134,,"Heagney Cr after Hawton Pl",, -35.424694, 149.133026,,,0
1135,,"Heagney Cr before Couchman Cr North Entry",, -35.423046, 149.134918,,,0
1136,,"Heagney Cr after 2nd Couchman Cr",, -35.423023, 149.134537,,,0
1137,,"Heagney Cr after Henry Melville Cr",, -35.421379, 149.135986,,,0
1138,,"Heagney Cr after Emily Bulcock Cr",, -35.420925, 149.136017,,,0
1139,,"Heagney Cr after Louisa Lawson Cr South Entry",, -35.419228, 149.136093,,,0
1140,,"Heagney Cr after 2nd Henry Melville Cr",, -35.419094, 149.135986,,,0
1141,,"Heagney Cr before 2nd Louisa Lawson Cr",, -35.416931, 149.135468,,,0
1142,,"Heagney Cr 3rd after Emily Bullock Cr",, -35.416759, 149.135056,,,0
1143,,"Proctor St after Sweet Pl",, -35.415211, 149.125153,,,0
1144,,"Proctor St after Maclean St",, -35.415329, 149.125259,,,0
1145,,"Heagney Cr after Louisa Lawson Cr North Entry",, -35.414936, 149.132904,,,0
1146,,"Heagney Cr before Hambidge Cr",, -35.415009, 149.132828,,,0
1147,,"Benham St Chisholm Shops",, -35.414421, 149.129059,,,0
1148,,"Benham St opp Chisholm Shops",, -35.414482, 149.129227,,,0
1149,,"Coyne St after Jackie Howe Cr",, -35.409004, 149.127960,,,0
1150,,"Coyne St after Isabella Dr",, -35.409157, 149.127777,,,0
1151,,"Coyne St after Bugden Av",, -35.409168, 149.123108,,,0
1152,,"Coyne St before Fihelly St",, -35.409225, 149.122726,,,0
1153,,"Bugden Av after Coyne St",, -35.406963, 149.120438,,,0
1154,,"Bugden Av after Larcombe Cr",, -35.406757, 149.120468,,,0
1155,,"Bugden Av before Demaine Cr",, -35.404228, 149.122452,,,0
1156,,"Bugden Av after Fihelly St",, -35.404354, 149.121964,,,0
1157,,"Bugden Av after 2nd Demaine Cr",, -35.402393, 149.124130,,,0
1158,,"Bugden Av after Mullan St",, -35.401344, 149.123550,,,0
1159,,"Bugden Av after 2nd Mullan St",, -35.398518, 149.122116,,,0
1160,,"Bugden Av after Courtice Cl",, -35.398529, 149.122192,,,0
1161,,"Bugden Av after Dash Cr",, -35.400242, 149.115692,,,0
1162,,"Bugden Av after Partridge St",, -35.401436, 149.114273,,,0
1163,,"Bugden Av 2nd after Appel Cr",, -35.401321, 149.112762,,,0
1164,,"Bugden Av after Maughan Cr",, -35.401833, 149.110306,,,0
1165,,"Bugden Av after Appel Cr",, -35.401741, 149.110016,,,0
1166,,"Bugden Av after Sternberg Cr",, -35.402649, 149.107483,,,0
1167,,"Bugden Av before Sternberg Cr",, -35.402691, 149.107559,,,0
1168,,"Bugden Av after 2nd Dash Cr",, -35.399540, 149.115829,,,0
1169,,"Longmore Cr after Angliss Pl",, -35.398911, 149.099472,,,0
1170,,"Sternberg Cr after Erindale Dr",, -35.402260, 149.103287,,,0
1171,,"Sternberg Cr after Ashley Dr",, -35.401943, 149.100571,,,0
1172,,"Comrie St Erindale Centre Platform 1",, -35.403648, 149.099167,,,0
1173,,"Comrie St opp Erindale Centre Platform 2",, -35.403778, 149.099335,,,0
1174,,"Sternberg Cr before Erindale Dr",, -35.401993, 149.102753,,,0
1178,,"Amsinck St after McBryde Cr",, -35.405556, 149.093552,,,0
1179,,"Amsinck St after Erindale Dr",, -35.405602, 149.093292,,,0
1180,,"MacKillop CLG McBryde Cr",, -35.406139, 149.090576,,,0
1181,,"McBryde Cr opp MacKillop CLG",, -35.406265, 149.090561,,,0
1182,,"Woodcock Dr after Covenant CLG",, -35.441864, 149.086182,,,0
1183,,"Woodcock Dr before Drakeford Dr",, -35.441692, 149.086151,,,0
1184,,"Clare Dennis Av after Woodcock Dr",, -35.443043, 149.085968,,,0
1185,,"Clare Dennis Av after Churchill Wy",, -35.445160, 149.087799,,,0
1186,,"Clare Dennis Av after Fred Lane Cr",, -35.446770, 149.086075,,,0
1187,,"Clare Dennis Av after 2nd Fred Lane Cr",, -35.447090, 149.083847,,,0
1188,,"Lewis Luxton Av after Preddy Wy",, -35.448402, 149.086121,,,0
1189,,"Lewis Luxton Av after Fleg Cr",, -35.450436, 149.089096,,,0
1190,,"Lewis Luxton Av after Sid Barnes Cr",, -35.452904, 149.087967,,,0
1191,,"Knoke Av opp Gordon PS",, -35.458122, 149.086121,,,0
1192,,"Knoke Av 2nd after Jim Pike Av",, -35.460579, 149.085663,,,0
1193,,"Knoke Av after Jim Pike Av",, -35.462280, 149.083206,,,0
1194,,"Jim Pike Av after Knoke St",, -35.462017, 149.079910,,,0
1195,,"Callaway Cr after 2nd Wootton Cr",, -35.459068, 149.080048,,,0
1196,,"Callaway Cr after Myles Connell Cr",, -35.460037, 149.081741,,,0
1197,,"Bugden Av after Chataway Cr",, -35.398640, 149.117569,,,0
1198,,"Bugden Av after Nicklin Cr",, -35.398045, 149.118256,,,0
1199,,"Knoke Av after Clem Hill St",, -35.464787, 149.084183,,,0
1200,,"Knoke Av after 2nd Harry Hopman Cct",, -35.467258, 149.087646,,,0
1201,,"Knoke Av after Harry Hopman Cct",, -35.472809, 149.089279,,,0
1202,,"Pockett Av after Bellchambers Cr",, -35.474079, 149.093170,,,0
1203,,"Pockett Av after Wilson Cr",, -35.471703, 149.096924,,,0
1204,,"Pockett Av after 2nd Ironbark Cr",, -35.469475, 149.097641,,,0
1205,,"Pockett Av after Perrin Cct",, -35.467556, 149.095367,,,0
1206,,"Pockett Av after Box Hill Av",, -35.465279, 149.094101,,,0
1207,,"Tom Roberts Av before Box Hill",, -35.463821, 149.096497,,,0
1208,,"Tom Roberts Av opp Conder PS",, -35.465324, 149.098404,,,0
1209,,"Tom Roberts Av after Brittlebank Cct",, -35.466980, 149.101654,,,0
1210,,"Tom Roberts Av Jane Sutherland St",, -35.466305, 149.105606,,,0
1211,,"Tom Roberts Av after Chartersville Av",, -35.462227, 149.105194,,,0
1212,,"Tom Roberts Av 2nd after Box Hill Av",, -35.461224, 149.102203,,,0
1213,,"Tom Roberts Av after Box Hill Av",, -35.460419, 149.099258,,,0
1214,,"Tom Roberts Av after Beaumaris St",, -35.466404, 149.100418,,,0
1215,,"Box Hill Av opp Lanyon Marketplace",, -35.456169, 149.092499,,,0
1216,,"Box Hill Av opp St. Clare of Assisi PS",, -35.457714, 149.097366,,,0
1217,,"Box Hill Av Lanyon Marketplace",, -35.456352, 149.092468,,,0
1218,,"Box Hill Av St. Clare of Assisi PS",, -35.457981, 149.097458,,,0
1219,,"Tom Roberts Av after Altson Cct",, -35.460468, 149.099014,,,0
1220,,"Tom Roberts Av after John Russell Cct",, -35.461296, 149.101807,,,0
1221,,"Tom Roberts Av before Lethbridge St",, -35.462200, 149.104980,,,0
1222,,"Tom Roberts Av opp Angell Pl",, -35.467083, 149.103699,,,0
1223,,"Tom Roberts Av Conder PS",, -35.464855, 149.097977,,,0
1224,,"Pockett Av after Bastow Cct",, -35.464989, 149.093948,,,0
1225,,"Pockett Av after Tregellas Cr",, -35.467590, 149.095276,,,0
1226,,"Pockett Av 2nd after Brockway Cct",, -35.470394, 149.097656,,,0
1227,,"Pockett Av Banks Shops",, -35.472431, 149.095947,,,0
1228,,"Pockett Av after Tharwa Dr",, -35.473495, 149.091736,,,0
1229,,"Knoke Av after Coventry Cl",, -35.472851, 149.089447,,,0
1230,,"Knoke Av after Minnett Cl",, -35.470764, 149.088898,,,0
1231,,"Knoke Av 2nd after Harry Hopman Cct",, -35.470875, 149.088791,,,0
1232,,"Knoke Av after Matson St",, -35.467175, 149.087677,,,0
1233,,"Knoke Av after Travers St",, -35.465672, 149.085587,,,0
1234,,"Knoke Av after Cornforth St",, -35.461983, 149.083649,,,0
1235,,"Knoke Av after Midge St",, -35.460663, 149.085724,,,0
1237,,"Lewis Luxton Av after Woodcock Dr",, -35.452995, 149.087341,,,0
1238,,"Lewis Luxton Av after 2nd Cerutty Cr",, -35.450897, 149.089340,,,0
1239,,"Lewis Luxton Av after Mackney Pl",, -35.448734, 149.087143,,,0
1240,,"Preddy Wy after Lewis Luxton Av",, -35.448162, 149.084198,,,0
1241,,"Clare Dennis Av after Noel Ryan Gdn",, -35.446545, 149.085449,,,0
1242,,"Clare Dennis Av after 2nd Noel Ryan Gdn",, -35.444641, 149.087173,,,0
1243,,"Clare Dennis Av after Woodfull Lp",, -35.443119, 149.085846,,,0
1246,,"Brierly St Cooleman Court Platform 1",, -35.340843, 149.052338,,,0
1247,,"Streeton Dr North of Hindmarsh Dr",, -35.340981, 149.050278,,,0
1248,,"Streeton Dr after Hindmarsh Dr",, -35.344681, 149.047089,,,0
1249,,"Streeton Dr South of Hindmarsh Dr",, -35.344612, 149.047043,,,0
1250,,"Fremantle Dr after Streeton Dr",, -35.346409, 149.046936,,,0
1251,,"Fremantle Dr before Streeton Dr",, -35.346600, 149.047043,,,0
1252,,"Fremantle Dr after 2nd McKail Cr",, -35.348286, 149.049240,,,0
1253,,"Fremantle Dr 3rd after Crowder Cct",, -35.347359, 149.048187,,,0
1254,,"Bunbury St after 2nd Shenton Cr",, -35.348007, 149.051422,,,0
1255,,"Bunbury St after Fremantle Dr",, -35.347881, 149.051544,,,0
1256,,"Bunbury St after Namatjira Dr",, -35.347702, 149.054886,,,0
1257,,"Bunbury St after Kirwan Cct",, -35.347656, 149.055252,,,0
